Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    1.59       1/1           CxxTest::RealTestDescription::run() [8]
                0.00    0.00       2/12          CxxTest::TestTracker::tracker() [35]
                0.00    0.00       1/3           CxxTest::maxDumpSize() [93]
                0.00    0.00       1/1           CxxTest::RealTestDescription::setUp() [150]
                0.00    0.00       1/1           CxxTest::TestTracker::enterTest(CxxTest::TestDescription const&) [128]
                0.00    0.00       1/1           CxxTest::RealTestDescription::tearDown() [151]
                0.00    0.00       1/4           CxxTest::setMaxDumpSize(unsigned int) [84]
                0.00    0.00       1/1           CxxTest::TestTracker::leaveTest(CxxTest::TestDescription const&) [129]
-----------------------------------------------
                0.00    1.59       1/1           CxxTest::TestRunner::runWorld() [7]
[6]     88.8    0.00    1.59       1         CxxTest::TestRunner::runSuite(CxxTest::SuiteDescription&) [6]
                0.00    1.59       1/1           CxxTest::TestRunner::runTest(CxxTest::TestDescription&) [5]
                0.00    0.00       2/12          CxxTest::TestTracker::tracker() [35]
                0.00    0.00       1/3           CxxTest::maxDumpSize() [93]
                0.00    0.00       1/1           CxxTest::TestTracker::enterSuite(CxxTest::SuiteDescription const&) [123]
                0.00    0.00       1/1           CxxTest::StaticSuiteDescription::setUp() [166]
                0.00    0.00       1/1           CxxTest::RealSuiteDescription::firstTest() [156]
                0.00    0.00       1/1           CxxTest::RealTestDescription::next() [149]
                0.00    0.00       1/12          CxxTest::Link::active() const [36]
                0.00    0.00       1/1           CxxTest::StaticSuiteDescription::tearDown() [167]
                0.00    0.00       1/1           CxxTest::TestTracker::leaveSuite(CxxTest::SuiteDescription const&) [126]
                0.00    0.00       1/4           CxxTest::setMaxDumpSize(unsigned int) [84]
-----------------------------------------------
                0.00    1.59       1/1           CxxTest::TestRunner::runAllTests(CxxTest::TestListener&) [4]
[7]     88.8    0.00    1.59       1         CxxTest::TestRunner::runWorld() [7]
                0.00    1.59       1/1           CxxTest::TestRunner::runSuite(CxxTest::SuiteDescription&) [6]
                0.00    0.00       2/12          CxxTest::TestTracker::tracker() [35]
                0.00    0.00       1/7           CxxTest::Link::Link() [58]
                0.00    0.00       1/1           CxxTest::TestRunner::WorldGuard::WorldGuard() [122]
                0.00    0.00       1/1           CxxTest::RealWorldDescription::setUp() [159]
